OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176580907                                            
Config info:
GSC,1.000
LaserDAC,210
FanDAC,255
ToFtoSFRfactor,98
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,55,0,0,4.667,1.398,1.188,1.305,1.309
16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,6.533,1.381,0.713,0.779,27.371
22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.533,1.388,0.965,1.048,1.049
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,5.547,1.388,1.024,1.065,1.065
20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.547,1.388,1.140,1.303,1.305
25,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,28,27,0,0,4.292,1.388,1.881,2.318,2.604
19,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,23,0,29,51,4.287,1.387,1.302,1.886,3.061
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.287,1.387,1.165,1.283,1.284
18,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,55,4.287,1.381,1.239,1.908,3.314
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.287,1.388,1.526,1.570,1.570
18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,4.287,1.388,1.138,1.245,1.249
15,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,35,0,4.200,1.388,1.291,1.599,1.648
29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,31,0,0,4.356,1.387,1.884,2.027,2.031
16,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,30,0,4.529,1.387,1.171,1.582,1.672
13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4.541,1.387,1.088,1.293,1.296
12,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4.541,1.381,1.094,1.437,1.445
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.541,1.388,1.095,1.126,1.126
11,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,29,0,4.528,1.388,0.966,1.245,1.291
28,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,43,4.571,1.387,1.919,2.350,3.398
20,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,24,23,0,0,4.487,1.387,1.646,1.982,1.999
20,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,15,0,0,39,4.558,1.387,1.487,2.021,41.014
23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,25,0,0,4.436,1.387,1.597,1.745,1.749
21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.436,1.381,1.368,1.489,1.491
17,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,19,29,0,0,4.512,1.388,1.682,2.087,2.095
23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4.562,1.387,1.711,1.819,1.819
15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4.541,1.388,1.061,1.121,1.121
16,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4.561,1.388,1.472,1.781,1.786
17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,4.540,1.388,1.198,1.327,1.329
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,4.540,1.388,0.981,1.279,2.333
13,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,31,25,0,0,4.484,1.388,1.017,1.265,39.827
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,4.313,1.381,1.567,1.628,1.628
17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,4.177,1.388,1.302,1.442,1.444
13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4.228,1.388,1.145,1.295,1.296
26,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,4.228,1.388,1.907,2.209,2.216
25,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,4.228,1.388,1.806,2.318,3.453
28,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,25,0,0,4.265,1.388,2.006,2.246,2.254
22,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,23,0,0,4.301,1.387,1.505,1.733,1.750
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.301,1.381,0.917,0.943,0.943
26,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,45,0,0,4.318,1.388,1.757,1.972,1.980
23,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,27,47,0,0,4.299,1.387,1.676,2.159,2.446
20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,33,4.341,1.387,1.310,1.645,2.747
