OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176580906                                            
Config info:
GSC,1.000
LaserDAC,131
FanDAC,255
ToFtoSFRfactor,81
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.050,1.398,0.000,0.000,0.000
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87,0,4.050,1.385,0.145,0.308,0.357
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.050,1.388,0.000,0.000,0.000
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.050,1.389,0.158,0.353,0.368
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.050,1.388,0.134,0.228,0.229
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,3.000,1.388,0.149,0.478,14.028
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.000,1.388,0.000,0.000,0.000
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.000,1.389,0.174,0.179,0.179
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,2.700,1.388,0.359,0.394,0.394
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67,0,2.700,1.384,0.023,0.262,0.336
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,2.271,1.388,0.196,0.232,0.232
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,2.282,1.388,0.310,0.349,0.349
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.282,1.388,0.000,0.000,0.000
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,43,0,2.263,1.389,0.340,0.663,0.751
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,2.263,1.388,0.075,0.219,0.227
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.263,1.388,0.116,0.119,0.119
