Flight Time, Lat, Long, Altitude (ft), Date, Hour:Min:Sec, Fix, Accel x, Accel y, Accel z, Internal Ambient (K), External Ambient (K), Battery (K), OPC (K), OPC Heater Status, Battery Heater Status, External Pressure (PSI)
0:00:04,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,1,-3,28,305.96,307.27,304.27,303.90,off,off,96.40
0:00:07,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,0,0,28,306.02,307.40,304.34,303.96,off,off,96.15
0:00:11,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,1,1,28,306.02,307.46,304.34,304.02,off,off,96.02
0:00:14,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-2,4,27,306.02,307.59,304.34,304.02,off,off,96.15
0:00:18,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-1,3,29,306.09,307.71,304.40,304.02,off,off,96.02
0:00:21,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,1,3,27,306.09,307.96,304.40,304.09,off,off,96.40
0:00:25,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-1,10,29,306.09,308.09,304.40,304.15,off,off,95.01
0:00:29,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,1,-4,32,306.09,308.21,304.46,304.15,off,off,92.61
0:00:32,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-2,-1,28,306.09,308.40,304.46,304.15,off,off,92.99
0:00:36,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,0,2,26,306.15,308.52,304.46,304.21,off,off,92.99
0:00:39,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,0,0,27,306.15,308.52,304.46,304.15,off,off,93.37
0:00:43,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-1,1,29,306.15,308.84,304.52,304.21,off,off,96.40
0:00:46,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-1,1,29,306.15,309.09,304.52,304.21,off,off,96.15
0:00:50,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,2,3,27,306.21,309.27,304.52,304.21,off,off,96.40
0:00:54,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,1,26,306.21,309.15,304.52,304.15,off,off,96.28
0:00:57,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-1,0,29,306.21,308.96,304.59,304.21,off,off,96.40
0:01:01,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,-2,30,306.21,308.84,304.59,304.15,off,off,96.15
0:01:04,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,2,26,306.21,308.77,304.59,304.21,off,off,95.90
0:01:08,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,2,8,27,306.27,308.77,304.59,304.21,off,off,93.12
0:01:11,44.320656,-93.975365,951.44,0/0/2000,15:50:57,fix,-4,-16,31,306.27,308.52,304.65,304.27,off,off,95.90
0:01:15,44.320751,-93.975273,938.32,0/0/2000,15:51:0,fix,20,-12,18,306.34,308.02,304.65,304.27,off,off,95.90
0:01:18,44.320900,-93.975067,958.01,0/0/2000,15:51:4,fix,25,-1,16,306.34,307.65,304.71,304.27,off,off,95.52
0:01:22,44.321018,-93.975021,977.69,0/0/2000,15:51:7,fix,30,-1,11,306.34,307.40,304.71,304.27,off,off,95.77
0:01:26,44.321140,-93.974915,1010.50,0/0/2000,15:51:11,fix,28,0,12,306.34,307.40,304.71,304.27,off,off,95.52
0:01:29,44.321140,-93.974915,1010.50,0/0/2000,15:51:11,fix,30,0,11,306.40,307.34,304.77,304.34,off,off,95.39
0:01:33,44.321377,-93.974655,1043.31,0/0/2000,15:51:18,fix,27,-1,11,306.40,307.34,304.71,304.40,off,off,95.27
0:01:36,44.321518,-93.974525,1059.71,0/0/2000,15:51:22,fix,27,2,11,306.40,307.21,304.77,304.40,off,off,95.01
0:01:40,44.321640,-93.974426,1072.83,0/0/2000,15:51:25,fix,27,-2,12,306.40,307.15,304.77,304.46,off,off,95.01
0:01:44,44.321774,-93.974358,1092.52,0/0/2000,15:51:29,fix,28,-2,14,306.40,306.84,304.84,304.52,off,off,95.01
0:01:47,44.321884,-93.974274,1102.36,0/0/2000,15:51:32,fix,25,-3,14,306.40,306.84,304.84,304.65,off,off,95.14
0:01:51,44.321953,-93.974182,1115.49,0/0/2000,15:51:36,fix,26,-3,15,306.40,306.84,304.84,304.65,off,off,94.89
0:01:54,44.321953,-93.974182,1115.49,0/0/2000,15:51:36,fix,26,1,11,306.40,306.52,304.90,304.71,off,off,91.48
0:01:58,44.322067,-93.973938,1145.01,0/0/2000,15:51:43,fix,29,-1,14,306.40,306.59,304.90,304.71,off,off,94.51
0:02:01,44.322067,-93.973938,1145.01,0/0/2000,15:51:43,fix,27,-3,14,306.40,306.52,304.90,304.71,off,off,94.63
