Flight Time, Lat, Long, Altitude (ft), Date, Hour:Min:Sec, Fix, Accel x, Accel y, Accel z, Internal Ambient (K), External Ambient (K), Battery (K), OPC (K), OPC Heater Status, Battery Heater Status, External Pressure (PSI)
0:00:07,0,0,0,0/0/2000,0:00:00,No Fix,-2,1,28,295.15,295.15,294.34,293.09,,,96.28
0:00:12,0,0,0,0/0/2000,0:00:00,No Fix,0,-20,23,295.21,295.15,294.4,293.09,,,96.65
0:00:17,0,0,0,0/0/2000,0:00:00,No Fix,4,-20,22,295.21,295.21,294.4,293.09,,,96.28
0:00:22,0,0,0,0/0/2000,0:00:00,No Fix,1,0,29,295.21,295.27,294.4,293.09,,,96.4
0:00:27,0,0,0,0/0/2000,0:00:00,No Fix,1,9,28,295.27,295.27,294.4,293.09,,,96.65
0:00:32,0,0,0,0/0/2000,0:00:00,No Fix,2,8,28,295.27,295.21,294.46,293.09,,,96.53
0:00:37,0,0,0,0/0/2000,0:00:00,No Fix,4,7,27,295.27,295.21,294.46,293.09,,,96.53
0:00:42,0,0,0,0/0/2000,0:00:00,No Fix,5,9,27,295.27,295.21,294.46,293.09,,,96.4
0:00:47,0,0,0,0/0/2000,0:00:00,No Fix,0,-1,28,295.27,295.27,294.46,293.09,,,96.53
0:00:52,0,0,0,0/0/2000,0:00:00,No Fix,0,0,29,295.34,295.34,294.46,293.09,,,96.4
0:00:57,0,0,0,0/0/2000,0:00:00,No Fix,-1,2,30,295.34,295.34,294.46,293.09,,,96.53
0:01:02,0,0,0,0/0/2000,0:00:00,No Fix,7,-2,28,295.34,295.34,294.46,293.09,,,92.61
0:01:07,0,0,0,0/0/2000,0:00:00,No Fix,-2,1,28,295.34,295.46,294.52,293.09,,,96.15
0:01:12,0,0,0,0/0/2000,0:00:00,No Fix,-6,-4,28,295.34,295.4,294.52,293.09,,,96.15
0:01:17,0,0,0,0/0/2000,0:00:00,No Fix,0,3,28,295.34,295.46,294.52,293.09,,,96.28
0:01:22,0,0,0,0/0/2000,0:00:00,No Fix,-2,0,28,295.34,295.34,294.52,293.09,,,96.15
0:01:27,0,0,0,0/0/2000,0:00:00,No Fix,-1,3,27,295.4,295.34,294.52,293.09,,,96.28
0:01:32,0,0,0,0/0/2000,0:00:00,No Fix,-2,3,28,295.4,295.34,294.52,293.09,,,96.4
0:01:37,0,0,0,0/0/2000,0:00:00,No Fix,-2,4,28,295.4,295.4,294.52,293.09,,,96.28
0:01:42,0,0,0,0/0/2000,0:00:00,No Fix,-1,5,27,295.46,295.46,294.52,293.09,,,96.28
