Flight Time, Lat, Long, Altitude (ft), Date, Hour:Min:Sec, Fix, Accel x, Accel y, Accel z, Internal Ambient (K), External Ambient (K), Battery (K), OPC (K), OPC Heater Status, Battery Heater Status, External Pressure (PSI)
0:00:07,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,33,-5,281.34,281.27,282.46,279.59,,100.57,
0:00:12,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,32,-5,281.34,281.27,282.52,279.65,,100.44,
0:00:17,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,31,-6,281.40,281.34,282.52,279.65,,100.44,
0:00:22,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,33,-5,281.40,281.34,282.59,279.65,,100.57,
0:00:27,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,32,-5,281.46,281.40,282.59,279.71,,100.69,
0:00:32,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-4,32,-6,281.46,281.40,282.65,279.71,,100.57,
0:00:37,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,32,-5,281.46,281.46,282.65,279.71,,100.44,
0:00:42,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,32,-5,281.52,281.46,282.65,279.71,,100.57,
0:00:47,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,33,-5,281.52,281.52,282.71,279.71,,100.44,
0:00:52,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,33,-5,281.59,281.52,282.71,279.71,,100.32,
0:00:57,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,32,-5,281.59,281.52,282.71,279.71,,97.54,
0:01:02,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,32,-5,281.65,281.52,282.77,279.71,,100.69,
0:01:07,44.099945,-94.230904,1138.45,0/0/2000,16:43:25,fix,-3,33,-4,281.65,281.59,282.84,279.71,,100.06,
0:01:12,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,32,-6,281.65,281.52,282.77,279.71,,100.19,
0:01:17,44.100166,-94.230888,1043.31,0/0/2000,16:43:35,fix,-2,33,-5,281.71,281.52,282.84,279.71,,100.32,
0:01:22,44.100197,-94.230881,1010.50,0/0/2000,16:43:40,fix,-2,33,-5,281.71,281.52,282.90,279.71,,99.81,
0:01:27,44.100163,-94.230873,1010.50,0/0/2000,16:43:45,fix,-2,32,-6,281.77,281.59,282.90,279.71,,99.94,
0:01:32,44.100147,-94.230873,1003.94,0/0/2000,16:43:50,fix,-2,32,-5,281.77,281.52,282.90,279.71,,100.06,
0:01:37,44.100140,-94.230865,1007.22,0/0/2000,16:43:55,fix,-2,33,-5,281.77,281.52,282.96,279.71,,100.32,
0:01:42,44.100140,-94.230865,1013.78,0/0/2000,16:44:0,fix,-6,30,-1,281.77,281.59,282.96,279.71,,100.06,
0:01:47,44.100151,-94.230873,1013.78,0/0/2000,16:44:5,fix,-2,35,1,281.84,281.59,282.96,279.77,,100.06,
0:01:52,44.100170,-94.230896,1013.78,0/0/2000,16:44:10,fix,-7,30,-3,281.84,281.59,283.02,279.77,,100.44,
0:01:57,44.100182,-94.230911,1020.34,0/0/2000,16:44:15,fix,-10,30,2,281.84,281.65,283.02,279.77,,100.06,
0:02:02,44.100208,-94.230911,1020.34,0/0/2000,16:44:20,fix,-28,16,-3,281.84,281.71,283.09,279.84,,99.94,
0:02:07,44.100212,-94.230904,1026.90,0/0/2000,16:44:25,fix,-29,18,-8,281.90,281.77,283.09,279.84,,100.44,
0:02:12,44.100250,-94.230919,1026.90,0/0/2000,16:44:30,fix,-29,14,-4,281.84,281.84,283.09,279.84,,100.19,
0:02:17,44.100258,-94.230911,1030.18,0/0/2000,16:44:35,fix,-27,19,-5,281.90,281.96,283.09,279.84,,100.06,
0:02:22,44.100258,-94.230888,1030.18,0/0/2000,16:44:40,fix,-30,21,-6,281.90,282.02,283.15,279.84,,100.19,
0:02:27,44.100266,-94.230911,1033.46,0/0/2000,16:44:45,fix,-29,28,-3,281.96,282.21,283.15,279.90,,100.19,
0:02:32,44.100269,-94.230911,1036.75,0/0/2000,16:44:50,fix,-25,20,-6,281.96,282.27,283.15,279.90,,100.06,
0:02:37,44.100273,-94.230904,1040.03,0/0/2000,16:44:55,fix,-23,44,-4,281.96,282.46,283.21,279.90,,100.19,
0:02:42,44.100380,-94.230835,1036.75,0/0/2000,16:45:0,fix,-1,31,-3,282.02,282.59,283.21,279.96,,100.19,
0:02:47,44.100567,-94.230774,1036.75,0/0/2000,16:45:5,fix,-2,32,-5,282.09,282.65,283.27,279.96,,100.06,
0:02:52,44.100788,-94.230736,1040.03,0/0/2000,16:45:10,fix,-2,35,-4,282.15,282.71,283.27,280.02,,99.81,
0:02:57,44.101086,-94.230789,1040.03,0/0/2000,16:45:15,fix,-2,33,-5,282.15,282.84,283.34,280.02,,99.68,
0:03:02,44.101360,-94.230820,1043.31,0/0/2000,16:45:20,fix,-2,35,-5,282.21,282.90,283.34,280.09,,99.68,
0:03:07,44.101646,-94.230835,1046.59,0/0/2000,16:45:25,fix,-2,32,-5,282.27,283.02,283.40,280.09,,99.43,
0:03:12,44.101925,-94.230858,1049.87,0/0/2000,16:45:30,fix,-2,31,-5,282.27,283.15,283.46,280.15,,98.93,
0:03:17,44.102211,-94.230873,1059.71,0/0/2000,16:45:35,fix,-2,32,-5,282.34,283.21,283.46,280.21,,99.05,
0:03:22,44.102505,-94.230865,1066.27,0/0/2000,16:45:40,fix,-2,32,-5,282.40,283.27,283.52,280.21,,99.18,
0:03:27,44.102798,-94.230865,1072.83,0/0/2000,16:45:45,fix,-2,33,-5,282.46,283.27,283.59,280.27,,98.93,
0:03:32,44.103092,-94.230789,1089.24,0/0/2000,16:45:50,fix,-2,33,-5,282.46,283.27,283.59,280.34,,98.67,
0:03:37,44.103386,-94.230690,1102.36,0/0/2000,16:45:55,fix,-2,32,-5,282.52,283.27,283.65,280.34,,98.55,
0:03:42,44.103691,-94.230629,1122.05,0/0/2000,16:46:0,fix,-2,35,-5,282.59,283.34,283.65,280.40,,98.30,
0:03:47,44.104000,-94.230568,1148.29,0/0/2000,16:46:5,fix,-2,32,-5,282.65,283.34,283.71,280.40,,98.42,
0:03:52,44.104294,-94.230545,1181.10,0/0/2000,16:46:10,fix,-2,35,-5,282.65,283.46,283.71,280.46,,98.17,
0:03:57,44.104603,-94.230545,1210.63,0/0/2000,16:46:15,fix,-2,32,-4,282.71,283.46,283.77,280.46,,98.17,
0:04:02,44.104908,-94.230545,1243.44,0/0/2000,16:46:20,fix,-2,35,-5,282.77,283.59,283.84,280.52,,98.04,
0:04:07,44.105228,-94.230522,1266.40,0/0/2000,16:46:25,fix,-2,31,-5,282.77,283.65,283.90,280.59,,97.92,
0:04:12,44.105530,-94.230492,1282.81,0/0/2000,16:46:30,fix,-2,36,-5,282.84,283.71,283.96,280.65,,94.89,
0:04:17,44.105843,-94.230438,1305.77,0/0/2000,16:46:35,fix,-3,32,-5,282.90,283.77,283.96,280.65,,97.66,
0:04:22,44.106171,-94.230446,1328.74,0/0/2000,16:46:40,fix,-2,34,-5,282.96,283.84,283.96,280.71,,97.16,
0:04:27,44.106506,-94.230392,1351.71,0/0/2000,16:46:45,fix,-2,31,-6,283.02,283.90,284.02,280.77,,97.16,
0:04:32,44.106869,-94.230324,1377.95,0/0/2000,16:46:50,fix,-2,34,-5,283.09,283.96,284.09,280.77,,96.91,
0:04:37,44.107204,-94.230293,1394.36,0/0/2000,16:46:55,fix,-2,34,-5,283.09,284.02,284.15,280.84,,96.78,
0:04:42,44.107533,-94.230240,1404.20,0/0/2000,16:47:0,fix,-2,32,-5,283.15,284.09,284.15,280.90,,96.65,
