OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176580906                                            
Config info:
GSC,1.000
LaserDAC,210
FanDAC,255
ToFtoSFRfactor,81
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0.638,1.398,2.536,3.034,3.040
13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638,1.381,4.503,5.357,5.369
8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0.544,1.388,3.494,3.752,3.753
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544,1.388,1.838,1.891,1.891
15,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0.628,1.388,6.537,7.960,7.980
21,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0.880,1.388,6.049,7.022,7.066
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880,1.387,1.324,1.362,1.362
4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880,1.388,1.544,2.111,2.120
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880,1.381,0.966,1.256,1.260
8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,127,0,145,0,0.851,1.388,1.945,2.530,2.680
26,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,78,49,0,0,0.875,1.387,6.134,7.718,8.615
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0.866,1.387,2.252,2.366,2.366
7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0.804,1.388,2.587,3.054,3.060
17,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,86,75,107,0,0.828,1.388,5.804,7.472,7.650
13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0.865,1.387,3.818,4.125,4.126
13,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0.887,1.388,3.789,4.385,4.423
42,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,45,75,0,0,0.987,1.381,11.075,13.342,13.408
24,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,53,149,0,0,1.057,1.387,7.017,8.389,8.412
14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,1.058,1.387,3.606,4.089,4.093
21,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,1.110,1.388,6.847,7.921,7.930
19,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.110,1.388,3.276,4.047,4.111
18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108,67,0,0,1.092,1.388,3.362,3.724,3.734
4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1.104,1.387,1.432,1.759,1.763
27,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,44,0,191,0,1.139,1.381,6.476,8.023,8.150
31,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,1.152,1.387,6.042,7.568,7.666
36,7,3,0,1,0,1,0,0,0,0,0,0,0,0,0,37,0,0,0,1.212,1.387,7.512,9.348,10.022
28,5,7,1,0,1,0,0,0,0,0,0,0,0,0,0,36,55,39,0,1.256,1.387,6.892,9.031,9.163
42,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,33,47,0,0,1.324,1.387,8.161,9.935,9.981
36,7,5,1,0,1,0,0,0,0,0,0,0,0,0,0,33,45,39,0,1.391,1.387,7.093,8.781,8.895
38,7,3,3,0,0,0,0,0,0,0,1,0,0,0,0,34,47,0,0,1.454,1.387,6.659,8.054,83.789
27,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,1.517,1.381,4.942,5.615,5.622
46,4,6,1,0,0,0,1,0,0,0,0,0,0,0,0,42,43,0,65,1.538,1.387,7.147,9.000,11.003
47,5,6,4,1,0,0,0,0,0,0,0,0,0,0,0,37,43,0,0,1.574,1.387,7.514,9.429,9.494
35,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,36,43,0,0,1.618,1.387,5.619,6.796,6.834
43,9,10,1,0,0,0,0,0,0,0,0,0,0,0,0,37,55,0,0,1.675,1.387,7.937,9.892,9.923
44,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,39,45,0,0,1.700,1.387,5.423,6.379,6.841
43,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,1.732,1.381,5.746,6.460,6.468
31,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,32,55,0,0,1.814,1.387,5.236,6.242,6.258
51,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,1.851,1.387,6.004,6.485,6.488
31,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,39,52,0,0,1.870,1.387,4.031,4.735,4.756
35,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,36,41,0,0,1.912,1.387,5.349,6.414,6.430
38,6,9,3,1,1,0,0,0,0,0,0,0,0,0,0,36,47,49,0,1.938,1.387,5.974,8.008,8.127
43,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,27,41,0,0,1.993,1.387,4.947,5.907,5.953
49,14,4,3,0,0,0,0,0,0,0,0,0,0,0,0,32,42,0,0,2.076,1.387,6.670,7.889,7.914
39,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,33,31,0,0,2.127,1.381,6.068,7.540,7.562
33,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,2.148,1.387,3.762,4.499,4.523
31,15,5,3,0,1,0,0,0,0,0,0,0,0,0,0,33,36,39,0,2.203,1.387,5.228,6.655,6.738
28,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,2.170,1.387,3.283,3.794,3.800
32,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,34,43,0,0,2.191,1.387,4.339,5.324,5.340
38,9,2,3,1,0,0,0,0,0,0,0,0,0,0,0,38,51,0,0,2.183,1.387,4.565,5.483,5.518
27,8,4,2,1,0,0,0,0,0,0,0,0,0,0,0,33,42,0,0,2.212,1.381,3.830,4.818,4.851
33,7,2,2,1,0,1,0,0,0,0,0,1,0,0,0,35,49,0,0,2.222,1.387,3.813,4.911,78.557
43,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,40,47,0,0,2.197,1.387,5.025,5.930,5.948
29,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,38,43,45,0,2.191,1.387,3.525,4.338,4.407
28,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,40,44,0,0,2.168,1.387,4.070,4.979,4.997
43,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,0,0,2.194,1.387,4.967,6.096,6.456
40,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,2.205,1.387,4.424,5.085,5.092
32,9,5,4,0,1,0,0,0,0,0,0,0,0,0,0,35,36,41,0,2.218,1.387,4.548,5.923,6.010
39,13,3,1,1,0,0,0,0,0,0,0,0,0,0,0,32,43,0,0,2.268,1.381,5.047,5.950,5.976
29,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,2.269,1.387,2.865,3.372,3.379
32,6,3,0,2,2,0,0,1,0,0,0,0,0,0,0,34,0,42,0,2.279,1.355,3.719,5.220,9.886
32,7,6,3,1,1,1,0,0,2,1,1,0,1,0,1,29,27,43,0,2.324,1.387,4.235,6.624,223.996
33,4,8,1,1,0,0,0,0,0,0,0,0,0,0,0,39,45,0,0,2.307,1.386,4.154,5.349,5.382
42,6,4,3,1,0,0,0,0,0,0,0,1,0,0,0,32,38,0,0,2.325,1.387,4.504,5.539,75.591
31,4,7,1,1,0,0,0,0,2,0,0,0,0,0,0,29,35,0,0,2.350,1.381,3.803,5.367,27.523
33,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,31,42,0,0,2.375,1.387,3.827,4.623,4.639
48,11,6,0,0,0,0,1,0,0,0,1,0,0,0,0,34,0,0,57,2.376,1.387,5.557,6.885,54.496
45,16,3,2,1,0,0,0,0,0,0,0,0,0,0,0,35,43,0,0,2.363,1.387,5.654,6.681,6.711
34,9,3,1,0,0,1,0,0,0,0,0,0,0,0,0,29,49,0,0,2.411,1.387,3.892,4.830,5.160
43,8,2,1,1,0,0,2,0,0,0,0,0,0,0,0,30,35,0,70,2.442,1.387,4.220,5.498,8.014
28,8,4,5,0,0,0,0,0,0,1,0,0,0,0,1,31,37,0,0,2.461,1.387,3.602,4.744,77.096
35,5,3,3,0,0,1,1,1,0,0,0,0,0,0,0,33,37,0,101,2.460,1.381,3.525,5.188,10.868
42,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,2.450,1.387,4.183,4.648,4.652
38,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2.483,1.387,3.972,4.444,4.448
35,8,4,1,1,0,0,0,0,0,1,0,0,0,0,0,33,47,0,0,2.479,1.387,3.895,4.812,24.446
39,8,3,3,1,0,0,0,0,0,0,0,0,0,0,0,29,37,0,0,2.513,1.387,4.058,4.933,4.965
38,11,3,2,0,0,1,0,0,0,0,0,0,0,0,0,34,41,0,0,2.492,1.387,4.305,5.345,5.668
36,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,26,0,59,0,2.530,1.387,2.953,3.565,3.920
38,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,55,0,2.531,1.382,3.941,4.924,4.985
39,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,35,42,0,0,2.506,1.387,4.249,5.276,5.302
51,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,27,36,0,0,2.532,1.387,4.522,5.406,56.501
36,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,33,37,0,0,2.525,1.387,3.847,4.780,4.810
22,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,31,35,0,0,2.531,1.387,2.761,3.887,7.884
34,10,4,4,0,0,0,1,1,1,0,0,0,0,0,0,30,38,0,77,2.554,1.387,4.043,5.859,21.147
39,9,3,1,0,1,0,0,0,0,0,0,0,0,0,0,27,31,39,0,2.605,1.387,3.932,4.693,4.752
31,8,3,1,0,0,1,0,0,1,0,0,0,0,0,0,30,33,0,0,2.616,1.381,3.302,4.367,14.610
33,6,3,3,0,0,0,0,0,0,1,0,1,0,0,0,27,45,0,0,2.646,1.387,3.237,4.041,83.961
42,8,2,1,0,0,0,0,0,0,0,0,1,0,0,0,31,41,0,0,2.642,1.387,3.811,4.322,65.948
41,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,33,38,0,0,2.616,1.387,4.200,4.976,4.991
39,7,2,0,1,0,0,0,0,1,0,0,0,0,0,0,29,0,0,0,2.634,1.387,3.508,4.216,14.060
42,8,6,2,0,0,0,1,0,0,0,0,0,0,0,0,31,35,0,55,2.631,1.387,4.396,5.629,6.804
30,9,1,4,0,1,0,0,0,0,0,0,0,0,0,0,36,46,49,0,2.574,1.387,3.252,4.060,4.129
48,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,29,0,47,0,2.596,1.382,4.036,4.615,4.679
30,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,2.565,1.387,3.042,3.572,3.579
39,8,1,2,0,0,2,0,0,0,0,0,1,0,0,0,32,39,0,0,2.561,1.387,3.655,4.721,68.887
47,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,32,38,0,0,2.558,1.387,4.488,5.327,5.344
41,10,6,1,1,0,0,0,0,0,0,0,0,0,0,0,31,43,0,0,2.566,1.387,4.645,5.665,5.692
38,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,32,63,0,0,2.562,1.387,3.854,4.622,4.646
40,11,3,1,3,0,0,0,0,0,0,0,0,0,0,0,29,41,0,0,2.596,1.387,4.285,5.235,5.283
