Flight Time, Lat, Long, Altitude (ft), Date, Hour:Min:Sec, Fix,Internal Ambient (K), External Ambient (K), Battery (K), OPC (K), OPC Heater Status, Battery Heater Status, External Pressure (PSI), MS5607 temperature (C), MS5607 pressure (PA)
0:00:05,0.0000,0.0000,0.0,0/0/2000,0:0:0,0,No Fix,311.15,312.15,310.15,312.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:00:10,0.0000,0.0000,0.0,0/0/2000,17:53:45,0,No Fix,311.15,311.65,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:00:15,0.0000,0.0000,0.0,5/16/2019,17:53:50,0,No Fix,311.15,311.65,310.15,312.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:00:20,0.0000,0.0000,0.0,5/16/2019,17:53:55,0,No Fix,311.15,311.65,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:00:25,0.0000,0.0000,0.0,5/16/2019,17:54:0,0,No Fix,311.15,311.15,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:00:30,44.3240,-93.8312,1056.8,5/16/2019,17:54:5,5,Fix,311.15,311.15,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:00:35,44.3240,-93.8312,1067.6,5/16/2019,17:54:10,5,Fix,311.15,311.15,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:00:40,44.3241,-93.8312,1071.9,5/16/2019,17:54:15,5,Fix,311.15,311.15,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:00:45,44.3241,-93.8312,1070.5,5/16/2019,17:54:20,5,Fix,311.15,311.65,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:00:50,44.3241,-93.8312,1065.3,5/16/2019,17:54:25,5,Fix,311.15,311.65,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:00:55,44.3242,-93.8312,1061.4,5/16/2019,17:54:30,5,Fix,311.15,311.65,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:01:00,44.3242,-93.8312,1059.7,5/16/2019,17:54:35,8,Fix,311.15,311.15,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:01:05,44.3243,-93.8312,1058.7,5/16/2019,17:54:40,8,Fix,311.15,311.15,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:01:10,44.3243,-93.8312,1061.7,5/16/2019,17:54:45,8,Fix,311.09,311.15,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:01:15,44.3243,-93.8312,1058.7,5/16/2019,17:54:50,8,Fix,311.09,311.15,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:01:20,44.3242,-93.8313,1058.1,5/16/2019,17:54:55,8,Fix,311.09,311.15,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:01:25,44.3243,-93.8313,1057.4,5/16/2019,17:55:0,8,Fix,311.15,310.65,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:01:30,44.3243,-93.8314,1058.1,5/16/2019,17:55:5,8,Fix,311.09,310.65,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:01:35,44.3243,-93.8314,1059.1,5/16/2019,17:55:10,8,Fix,311.09,310.65,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:01:40,44.3243,-93.8314,1062.7,5/16/2019,17:55:15,9,Fix,311.09,310.65,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:01:45,44.3243,-93.8314,1065.0,5/16/2019,17:55:20,8,Fix,311.09,310.65,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:01:50,44.3243,-93.8314,1064.3,5/16/2019,17:55:25,9,Fix,311.09,310.65,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:01:55,44.3243,-93.8314,1067.9,5/16/2019,17:55:30,7,Fix,311.09,310.65,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:02:00,44.3243,-93.8314,1066.3,5/16/2019,17:55:35,7,Fix,311.09,310.65,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:02:05,44.3243,-93.8314,1063.3,5/16/2019,17:55:40,7,Fix,311.09,311.15,310.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:02:10,44.3243,-93.8314,1062.7,5/16/2019,17:55:45,8,Fix,311.15,311.15,310.15,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:02:15,44.3243,-93.8314,1056.8,5/16/2019,17:55:50,8,Fix,311.15,311.15,310.15,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:02:20,44.3243,-93.8314,1055.8,5/16/2019,17:55:55,8,Fix,311.15,311.15,310.15,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:02:25,44.3243,-93.8314,1054.5,5/16/2019,17:56:0,8,Fix,311.15,311.15,310.15,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:02:30,44.3243,-93.8314,1051.8,5/16/2019,17:56:5,9,Fix,311.15,311.15,310.65,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:02:35,44.3243,-93.8314,1057.1,5/16/2019,17:56:10,9,Fix,311.15,311.15,310.65,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:02:40,44.3243,-93.8314,1057.7,5/16/2019,17:56:15,9,Fix,311.15,311.15,310.65,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:02:45,44.3243,-93.8314,1057.7,5/16/2019,17:56:20,9,Fix,311.15,311.15,310.65,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:02:50,44.3243,-93.8314,1056.8,5/16/2019,17:56:25,10,Fix,311.21,311.65,310.65,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:02:55,44.3243,-93.8314,1057.4,5/16/2019,17:56:30,10,Fix,311.21,311.65,310.65,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:03:00,44.3243,-93.8314,1058.7,5/16/2019,17:56:35,10,Fix,311.21,311.65,310.65,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:03:05,44.3243,-93.8314,1061.0,5/16/2019,17:56:40,10,Fix,311.21,311.65,310.65,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:03:10,44.3243,-93.8314,1061.0,5/16/2019,17:56:45,10,Fix,311.21,311.65,310.65,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:03:15,44.3243,-93.8314,1060.7,5/16/2019,17:56:50,9,Fix,311.27,311.65,310.65,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:03:20,44.3243,-93.8314,1059.1,5/16/2019,17:56:55,10,Fix,311.27,312.15,310.65,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:03:25,44.3243,-93.8314,1055.8,5/16/2019,17:57:0,8,Fix,311.34,312.15,310.65,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:03:30,44.3243,-93.8314,1054.1,5/16/2019,17:57:5,10,Fix,311.34,312.15,310.65,311.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:03:35,44.3243,-93.8314,1053.5,5/16/2019,17:57:10,10,Fix,311.34,312.15,310.65,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:03:40,44.3243,-93.8314,1052.5,5/16/2019,17:57:15,10,Fix,311.40,312.15,310.65,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:03:45,44.3243,-93.8314,1050.5,5/16/2019,17:57:20,11,Fix,311.40,312.15,310.65,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:03:50,44.3243,-93.8314,1052.8,5/16/2019,17:57:25,10,Fix,311.46,312.15,310.65,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:03:55,44.3243,-93.8314,1053.1,5/16/2019,17:57:30,10,Fix,311.46,312.15,310.65,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:04:00,44.3243,-93.8314,1050.5,5/16/2019,17:57:35,11,Fix,311.46,312.15,310.65,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:04:05,44.3243,-93.8314,1057.1,5/16/2019,17:57:40,10,Fix,311.46,312.15,310.65,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:04:10,44.3243,-93.8314,1061.0,5/16/2019,17:57:45,10,Fix,311.46,312.15,310.65,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:04:15,44.3243,-93.8314,1062.3,5/16/2019,17:57:50,11,Fix,311.52,312.15,310.65,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:04:20,44.3243,-93.8314,1060.7,5/16/2019,17:57:55,11,Fix,311.59,311.65,310.65,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:04:25,44.3243,-93.8314,1065.9,5/16/2019,17:58:0,11,Fix,311.59,311.65,310.65,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:04:30,44.3243,-93.8314,1066.9,5/16/2019,17:58:5,9,Fix,311.65,311.65,311.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:04:35,44.3243,-93.8314,1069.2,5/16/2019,17:58:10,9,Fix,311.65,311.65,311.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:04:40,44.3243,-93.8314,1065.6,5/16/2019,17:58:15,10,Fix,311.65,311.65,311.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:04:45,44.3243,-93.8314,1065.9,5/16/2019,17:58:20,11,Fix,311.71,311.65,311.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:04:50,44.3243,-93.8314,1070.2,5/16/2019,17:58:25,10,Fix,311.71,311.65,311.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:04:55,44.3243,-93.8314,1065.6,5/16/2019,17:58:30,11,Fix,311.71,311.65,311.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:05:00,44.3243,-93.8314,1062.0,5/16/2019,17:58:35,11,Fix,311.77,311.65,311.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:05:05,44.3243,-93.8313,1063.0,5/16/2019,17:58:41,10,Fix,311.77,311.65,311.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:05:10,44.3243,-93.8313,1062.0,5/16/2019,17:58:46,10,Fix,311.77,311.65,311.15,312.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:05:15,44.3243,-93.8312,1062.3,5/16/2019,17:58:51,11,Fix,311.84,311.65,311.15,312.15,CLOSED,CLOSED,332942.91,136497080000.00,
0:05:20,44.3243,-93.8311,1058.7,5/16/2019,17:58:56,9,Fix,311.84,311.65,311.15,312.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:05:25,44.3243,-93.8311,1058.1,5/16/2019,17:59:1,9,Fix,311.84,311.65,311.15,312.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:05:30,44.3243,-93.8311,1055.4,5/16/2019,17:59:6,11,Fix,311.84,311.65,311.15,312.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:05:35,44.3243,-93.8311,1054.5,5/16/2019,17:59:11,11,Fix,311.90,311.65,311.15,312.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:05:40,44.3241,-93.8312,1087.3,5/16/2019,17:59:16,11,Fix,311.90,311.15,311.15,312.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:05:45,44.3241,-93.8311,1123.4,5/16/2019,17:59:21,11,Fix,311.96,311.15,311.15,312.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:05:50,44.3239,-93.8311,1161.1,5/16/2019,17:59:26,11,Fix,311.96,310.65,311.15,312.65,CLOSED,CLOSED,332942.91,136497080000.00,
0:05:55,44.3238,-93.8311,1199.8,5/16/2019,17:59:31,11,Fix,311.96,310.65,311.15,312.65,CLOSED,CLOSED,332942.91,136497080000.00,
