OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176880607                                            
Config info:
GSC,1.000
LaserDAC,209
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23,0,3.700,1.398,0.246,0.677,0.919
4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,35,0,2.741,1.381,0.490,0.753,0.802
2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,2.741,1.388,0.327,0.575,60.511
7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,29,0,0,3.700,1.388,0.421,0.500,0.503
6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.491,1.388,0.729,0.919,0.921
7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,3.389,1.388,0.632,0.799,0.801
5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,25,0,0,3.503,1.388,0.431,0.526,0.529
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.503,1.388,0.242,0.314,0.315
2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,21,31,30,0,3.507,1.381,0.342,0.727,0.807
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.507,1.387,0.190,0.195,0.195
6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,33,0,0,3.510,1.388,0.576,0.740,0.745
10,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,23,31,0,0,3.486,1.388,0.595,0.887,1.111
4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,35,0,0,3.397,1.387,0.414,0.566,0.570
6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.397,1.388,0.415,0.571,0.582
5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.397,1.388,0.365,0.520,0.531
4,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,29,25,0,25,3.323,1.388,0.357,0.951,2.105
5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,3.323,1.381,0.284,0.529,8.358
3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.335,1.388,0.339,0.430,0.432
5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,3.328,1.388,0.335,0.402,33.461
5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.446,1.388,0.507,0.613,0.614
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,3.499,1.388,0.207,0.284,0.287
2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,19,0,45,3.499,1.388,0.127,0.577,8.846
3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,3.499,1.388,0.271,0.536,0.583
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3.471,1.381,0.357,0.392,0.392
5,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,28,0,21,0,3.345,1.388,0.741,1.138,1.189
6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.347,1.387,0.468,0.507,0.507
3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,19,21,0,0,3.364,1.388,0.373,0.737,0.971
4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.401,1.387,0.381,0.473,0.474
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.415,1.388,0.424,0.449,0.449
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,37,0,0,3.460,1.388,0.258,0.336,0.340
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460,1.381,0.242,0.249,0.249
2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,3.460,1.388,0.208,0.398,0.436
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.484,1.388,0.402,0.438,0.438
4,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,3.447,1.388,0.417,0.866,1.110
1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.447,1.387,0.254,0.602,0.828
4,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,25,25,0,3.447,1.388,0.368,0.682,0.726
2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,21,0,27,0,3.449,1.388,0.208,0.420,0.467
5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.449,1.381,0.445,0.591,0.594
2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.449,1.388,0.298,0.440,0.442
3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,17,27,0,0,3.469,1.388,0.375,0.598,0.612
