OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176580907                                            
Config info:
GSC,1.000
LaserDAC,210
FanDAC,255
ToFtoSFRfactor,98
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
91,11,5,4,1,2,1,0,0,0,1,0,0,0,0,0,23,19,26,0,4.261,1.398,7.540,9.402,27.608
61,13,5,0,1,3,1,0,2,0,0,0,0,0,0,0,20,0,30,0,4.585,1.380,5.437,7.502,14.843
100,13,6,1,1,0,1,0,0,0,0,0,0,0,0,0,19,25,0,0,4.771,1.387,7.450,8.689,8.966
85,10,9,2,1,0,0,0,1,1,1,1,0,1,0,0,20,26,0,0,4.798,1.387,6.681,8.510,126.097
82,13,10,3,0,0,2,0,0,0,0,0,0,0,0,0,19,25,0,0,4.872,1.387,6.832,8.609,9.130
75,22,5,4,1,0,1,0,0,0,0,1,0,0,0,0,20,22,0,0,4.879,1.387,6.758,8.250,43.976
74,15,6,0,0,1,1,0,0,0,0,0,0,0,0,0,18,0,29,0,4.983,1.387,5.906,7.067,7.358
78,14,4,0,0,3,1,1,0,1,0,0,0,0,0,0,20,0,44,33,4.967,1.387,5.851,7.542,17.066
56,11,3,1,2,0,3,1,0,0,0,0,0,0,0,0,23,31,0,37,4.842,1.380,4.493,6.189,7.966
71,11,6,3,1,0,0,0,0,0,0,0,0,0,0,0,24,30,0,0,4.707,1.387,5.816,6.893,6.924
74,11,5,0,1,1,0,0,0,0,0,0,0,0,0,0,22,0,35,0,4.666,1.387,5.822,6.760,6.822
79,13,5,1,2,1,0,0,0,0,0,1,0,0,0,0,21,39,23,0,4.666,1.387,6.351,7.539,44.682
72,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,25,24,0,0,4.575,1.387,5.532,6.489,6.519
64,9,1,2,2,0,0,0,0,0,0,0,0,0,0,0,22,40,0,0,4.559,1.387,4.792,5.462,5.495
77,11,3,2,2,0,0,0,0,0,0,0,0,0,0,0,20,21,0,0,4.609,1.387,5.909,6.792,6.827
68,15,3,3,2,2,4,1,1,2,1,1,0,0,0,0,21,24,29,39,4.620,1.381,5.886,9.234,86.814
86,13,7,3,0,6,5,5,4,5,1,2,0,0,0,0,19,27,43,39,4.708,1.386,7.051,13.736,166.804
72,12,9,2,1,1,1,3,0,1,1,3,0,0,0,0,27,22,27,51,4.486,1.386,6.613,9.606,155.009
65,8,6,4,0,2,2,0,1,1,0,1,0,0,0,0,24,24,36,0,4.434,1.386,5.575,7.979,60.408
66,13,7,2,4,0,3,0,2,0,0,0,0,0,0,0,22,33,0,0,4.438,1.387,6.244,9.043,17.049
77,16,5,4,1,1,1,0,0,1,0,0,0,0,0,1,19,33,29,0,4.572,1.387,6.756,8.536,62.232
70,10,3,5,0,0,1,1,0,0,0,0,0,0,0,0,24,31,0,39,4.495,1.387,5.630,7.061,8.420
60,9,8,4,0,0,1,0,0,1,0,0,0,0,0,0,22,31,0,0,4.490,1.380,5.547,7.231,16.633
74,14,4,3,1,1,1,0,0,0,0,0,0,0,0,0,21,31,51,0,4.522,1.387,6.301,7.703,8.044
65,15,3,1,1,5,0,0,0,0,1,0,0,0,0,0,22,21,30,0,4.509,1.387,5.750,7.347,24.541
64,10,5,2,0,1,0,1,0,0,0,0,0,0,0,0,22,22,25,47,4.501,1.387,5.411,6.674,7.797
65,13,3,1,2,2,2,0,0,1,0,0,0,0,0,0,19,21,26,0,4.605,1.387,5.428,7.219,16.697
94,14,4,3,1,1,1,0,0,0,0,0,0,0,0,0,20,22,25,0,4.658,1.387,7.242,8.636,8.967
78,18,6,0,1,1,1,2,0,1,0,0,0,0,0,0,20,0,25,45,4.712,1.381,6.807,8.901,19.937
79,8,3,2,2,0,0,3,1,1,1,0,0,0,0,0,21,33,0,44,4.707,1.387,5.619,7.771,39.099
95,10,3,5,0,1,1,0,0,0,0,0,0,0,0,0,20,26,25,0,4.733,1.387,6.742,8.018,8.339
76,18,4,2,1,2,0,0,0,0,0,0,0,0,1,0,20,21,33,0,4.771,1.387,6.429,7.662,56.934
89,10,6,2,2,1,1,0,0,0,0,0,0,0,0,0,19,25,9,0,4.822,1.387,6.565,8.011,8.341
60,12,9,2,0,3,1,0,0,0,0,0,0,0,0,0,18,28,42,0,4.916,1.387,5.394,7.126,7.513
77,15,8,1,1,1,1,1,0,0,1,1,0,0,0,0,18,17,45,43,5.013,1.387,6.298,8.128,59.137
99,13,4,5,0,0,0,0,0,0,0,0,1,0,0,0,23,30,0,0,4.860,1.380,7.185,8.220,61.151
65,12,8,1,0,2,0,0,1,1,0,0,0,0,0,0,24,27,30,0,4.711,1.387,5.737,7.493,19.581
85,9,5,3,1,1,2,0,0,0,0,0,0,0,0,0,18,50,31,0,4.795,1.387,6.197,7.766,8.341
68,6,4,3,0,1,0,0,0,0,0,0,0,0,0,0,21,26,41,0,4.783,1.387,4.857,5.719,5.777
68,14,2,1,0,0,1,0,0,1,0,0,0,0,0,0,23,21,0,0,4.675,1.387,5.419,6.434,15.401
66,11,1,5,1,0,0,0,0,0,0,0,0,0,0,0,22,33,0,0,4.639,1.387,5.104,5.922,5.954
53,11,3,2,1,0,1,0,0,0,0,1,0,0,0,0,17,22,0,0,4.784,1.387,4.364,5.373,41.802
67,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,21,24,0,0,4.765,1.381,5.759,6.894,6.916
58,11,4,3,0,2,0,2,0,0,0,0,0,0,0,0,19,25,29,33,4.822,1.387,4.752,6.314,8.398
84,13,9,1,0,1,2,0,0,1,1,0,0,0,0,0,23,25,27,0,4.712,1.387,7.000,9.040,34.469
66,21,1,2,2,2,9,6,6,2,1,2,1,0,0,0,23,25,43,38,4.586,1.387,6.136,13.387,208.483
74,10,2,4,2,6,7,2,0,3,0,1,0,0,0,0,20,30,35,42,4.628,1.386,5.699,10.314,78.293
64,6,6,6,3,5,6,6,0,3,1,2,0,1,1,0,19,30,45,44,4.672,1.387,5.248,11.103,241.163
69,7,4,4,2,3,3,4,0,0,1,0,0,0,1,0,25,26,44,46,4.580,1.386,5.358,8.707,81.788
64,10,9,5,4,5,4,6,1,3,1,2,0,0,0,2,22,27,33,46,4.562,1.380,6.126,12.271,232.898
71,17,4,0,1,3,1,3,0,0,0,1,0,0,0,0,18,0,34,38,4.731,1.386,6.065,8.342,48.359
91,14,9,2,1,0,0,0,0,0,0,0,0,0,0,0,17,21,0,0,4.897,1.387,7.232,8.512,8.542
75,21,8,2,2,1,1,0,0,0,0,0,0,0,0,0,19,20,33,0,4.962,1.387,6.849,8.563,8.886
93,23,6,2,0,1,1,0,0,0,0,0,0,0,0,0,17,20,19,0,5.161,1.387,7.423,8.822,9.110
82,17,11,3,3,2,0,0,0,0,0,0,0,0,0,0,18,26,39,0,5.221,1.387,6.890,8.735,8.866
87,24,5,1,1,1,1,0,1,0,0,0,0,0,1,0,15,37,43,0,5.539,1.381,6.631,8.129,53.798
72,15,3,3,0,4,5,2,2,3,0,0,0,0,0,0,19,26,32,42,5.458,1.387,5.145,8.769,39.946
69,13,3,3,3,5,5,6,2,6,1,4,0,0,0,0,19,26,40,41,5.402,1.387,4.959,10.593,210.560
67,8,7,3,4,0,2,2,4,1,1,0,0,0,0,0,17,32,0,47,5.443,1.386,4.760,7.992,43.396
77,14,4,0,3,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,5.560,1.387,5.200,6.202,6.453
78,9,5,1,2,0,0,0,0,0,0,0,0,0,0,0,18,35,0,0,5.544,1.359,5.066,5.865,5.894
75,12,8,3,1,2,0,0,1,0,0,0,0,0,0,0,20,26,33,0,5.426,1.387,5.544,7.112,10.126
65,10,9,5,0,0,0,0,0,0,0,0,0,0,0,0,19,24,0,0,5.386,1.381,5.078,6.256,6.284
66,11,3,2,1,2,1,0,0,0,0,1,0,0,0,0,17,20,43,0,5.441,1.387,4.485,5.626,37.728
75,11,8,4,3,1,0,1,0,0,0,0,0,0,0,0,22,24,23,29,5.261,1.387,5.693,7.379,8.381
84,3,8,0,2,5,1,0,1,1,0,0,0,0,0,0,18,0,37,0,5.269,1.387,5.357,7.492,18.662
90,17,5,1,1,1,3,2,1,0,0,3,0,0,0,0,18,29,47,34,5.307,1.387,6.463,8.930,112.245
93,20,5,2,0,1,0,0,1,0,2,0,0,0,0,0,16,22,33,0,5.490,1.387,6.633,8.020,38.798
61,11,6,2,0,0,1,0,0,0,0,0,0,0,0,0,27,35,0,0,5.086,1.387,4.820,5.877,6.130
71,15,3,2,1,0,2,0,0,0,0,0,0,0,0,0,19,24,0,0,5.100,1.381,5.395,6.611,7.109
90,13,6,2,0,1,1,1,0,0,0,0,0,0,0,0,21,23,29,43,5.017,1.387,6.590,8.109,9.359
95,14,10,5,0,0,0,2,0,0,0,0,0,0,0,0,19,25,0,45,5.043,1.387,7.422,9.343,11.272
77,8,2,1,1,1,1,0,1,0,0,0,0,0,0,0,19,21,43,0,5.057,1.387,4.979,6.118,9.538
80,9,1,2,0,0,0,2,1,0,0,0,0,0,0,0,19,25,0,72,5.070,1.387,5.102,6.301,11.315
75,13,7,3,0,2,1,0,0,0,0,0,0,0,0,0,18,26,31,0,5.132,1.387,5.828,7.315,7.648
80,12,5,1,1,2,0,0,0,1,0,0,0,0,0,0,23,23,36,0,4.963,1.387,5.927,7.213,15.511
74,15,1,3,1,0,2,1,0,0,0,0,0,0,0,0,21,23,0,43,4.901,1.381,5.589,7.021,8.522
72,15,3,2,1,2,1,0,0,0,0,0,0,0,0,0,21,32,26,0,4.852,1.387,5.722,7.030,7.385
70,8,3,1,2,0,1,1,0,1,0,0,0,0,0,0,23,23,0,45,4.774,1.387,5.012,6.416,16.224
83,21,1,3,0,0,0,1,0,0,0,0,0,0,0,0,21,23,0,51,4.746,1.387,6.778,7.806,8.829
85,17,4,2,0,0,0,0,1,1,0,0,0,0,0,0,20,28,0,0,4.779,1.387,6.771,8.101,19.932
75,15,6,2,0,1,2,0,0,0,0,1,0,0,0,0,20,21,25,0,4.803,1.387,6.257,7.880,44.456
73,13,4,4,2,1,1,0,0,0,0,0,0,0,0,0,18,34,41,0,4.906,1.387,5.719,7.144,7.474
51,18,7,1,2,0,0,0,0,0,0,1,0,0,0,0,24,25,0,0,4.688,1.381,5.476,6.729,43.820
77,15,1,2,1,0,1,1,0,0,0,0,0,0,0,0,25,24,0,27,4.511,1.387,6.177,7.410,8.761
62,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,21,36,0,0,4.521,1.387,4.942,5.917,5.939
62,6,6,1,0,1,1,1,0,0,0,1,0,0,0,0,19,21,83,27,4.572,1.387,4.908,6.385,45.579
74,7,5,4,1,2,1,0,0,0,1,0,0,0,1,0,16,16,24,0,4.696,1.387,5.569,7.178,73.782
64,7,2,1,1,1,0,1,0,0,0,0,0,0,0,0,29,25,33,27,4.513,1.387,4.722,5.697,6.821
74,12,7,4,1,1,1,1,0,0,0,0,0,0,0,0,19,20,27,21,4.609,1.387,6.383,8.306,9.688
55,11,1,4,0,2,0,1,0,0,0,0,0,0,0,0,43,38,30,71,4.609,1.381,4.502,5.698,6.845
82,13,6,3,0,0,1,0,0,0,0,0,0,0,0,0,21,22,0,0,4.619,1.387,6.727,8.031,8.313
80,6,4,3,1,0,0,1,0,1,0,0,0,0,0,0,25,37,0,45,4.545,1.387,5.811,7.155,17.187
77,8,7,1,0,1,0,0,0,0,0,0,0,0,0,0,22,31,41,0,4.534,1.387,6.126,7.191,7.249
79,15,11,0,1,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,4.477,1.387,7.481,9.152,9.451
83,15,7,2,0,1,0,0,0,0,0,0,0,0,0,0,17,20,31,0,4.686,1.387,6.964,8.193,8.253
60,11,2,5,3,0,0,1,3,0,1,0,0,0,0,0,21,34,0,43,4.683,1.382,4.901,7.143,34.769
74,14,1,2,1,1,0,0,1,0,0,0,0,0,0,0,23,33,31,0,4.597,1.387,5.802,6.900,10.402
71,15,8,3,0,0,0,0,0,0,0,0,0,0,0,0,21,33,0,0,4.611,1.387,6.540,7.783,7.806
108,18,1,1,0,1,0,0,0,0,0,0,0,0,0,0,23,25,55,0,4.525,1.387,8.194,8.989,9.039
98,11,2,2,0,0,1,0,0,0,0,0,0,0,0,0,23,25,0,0,4.482,1.387,7.144,8.068,8.350
71,16,1,3,0,1,1,1,0,0,0,0,0,0,0,0,23,30,29,57,4.434,1.387,6.061,7.450,8.862
81,8,3,4,0,1,0,0,0,0,0,0,0,0,0,0,21,29,45,0,4.460,1.387,6.089,7.059,7.125
78,21,7,1,0,0,0,0,0,1,0,0,0,0,0,0,17,43,0,0,4.738,1.382,7.157,8.459,17.093
91,9,6,4,0,1,0,0,1,0,0,0,0,0,0,0,26,24,49,0,4.584,1.387,6.948,8.453,11.967
78,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,20,25,0,0,4.630,1.387,6.449,7.488,7.503
104,13,6,2,0,1,0,2,0,0,0,0,0,0,0,0,17,27,45,52,4.799,1.387,7.649,9.280,11.332
89,15,6,2,0,0,0,0,0,0,0,0,0,0,0,0,19,58,0,0,4.866,1.387,6.906,7.890,7.905
88,8,6,1,1,0,0,0,0,0,0,0,0,0,0,0,20,17,0,0,4.870,1.387,6.189,7.072,7.095
76,16,6,3,1,0,0,0,0,0,0,0,0,0,0,0,22,24,0,0,4.776,1.387,6.471,7.624,7.655
82,9,4,2,0,0,1,0,0,0,0,0,0,0,0,0,23,37,0,0,4.702,1.382,5.983,6.969,7.241
79,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,23,0,0,4.648,1.387,6.139,6.694,6.700
73,5,5,1,2,1,0,0,0,0,0,0,0,0,0,0,24,21,25,0,4.599,1.387,5.325,6.332,6.409
66,14,2,4,0,1,1,0,0,0,0,0,0,0,0,0,24,32,29,0,4.492,1.387,5.651,6.862,7.195
81,10,5,2,0,1,3,0,0,0,0,0,0,0,0,0,26,31,87,0,4.372,1.387,6.604,8.423,9.315
63,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0,24,22,0,0,4.321,1.387,5.513,6.258,6.271
75,11,3,2,1,0,0,1,0,0,0,0,0,0,0,0,28,26,0,33,4.169,1.387,6.384,7.550,8.724
59,10,5,1,1,0,0,0,0,0,0,0,0,0,0,0,34,33,0,0,3.919,1.382,5.865,6.856,6.883
61,3,7,2,1,0,0,1,0,0,0,0,0,0,0,0,43,31,0,43,3.790,1.387,5.690,7.175,8.473
76,11,7,2,2,0,0,0,0,0,0,0,0,0,0,0,27,37,0,0,3.764,1.387,7.746,9.226,9.276
65,7,4,3,1,2,0,0,0,0,0,0,0,0,0,0,26,27,30,0,3.764,1.360,6.245,7.664,7.808
86,11,4,1,1,0,0,0,0,0,0,0,0,0,0,0,27,43,0,0,3.743,1.387,7.981,8.989,9.015
66,10,6,3,1,1,1,0,0,0,0,0,0,0,0,0,21,31,37,0,3.852,1.387,6.673,8.416,8.820
74,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,21,40,0,0,3.942,1.387,7.011,8.554,8.622
86,10,6,5,2,0,1,1,0,0,0,0,0,0,0,0,18,24,0,31,4.103,1.382,7.660,9.741,11.265
82,13,6,3,1,1,1,0,0,0,0,0,0,0,0,0,21,24,23,0,4.194,1.387,7.448,9.136,9.507
90,15,3,6,0,1,0,0,0,0,0,0,0,0,0,0,19,22,25,0,4.356,1.387,7.569,8.856,8.931
87,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4.312,1.387,7.053,7.846,7.854
80,14,4,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,37,0,4.232,1.387,6.954,7.869,7.923
89,14,6,2,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,4.272,1.387,7.760,8.861,8.879
75,7,12,2,3,2,1,1,1,0,0,0,0,0,0,0,22,23,29,9,4.291,1.387,7.011,9.915,15.150
72,14,2,3,1,0,1,0,0,0,0,0,0,0,0,0,20,30,0,0,4.394,1.382,6.128,7.254,7.558
80,10,7,5,4,0,2,0,0,0,0,0,0,0,0,0,24,29,0,0,4.347,1.387,7.019,9.220,9.856
75,14,4,4,1,2,0,0,0,0,0,0,0,0,0,0,22,22,26,0,4.367,1.387,6.632,8.051,8.177
93,16,10,3,1,1,0,0,2,0,0,0,0,0,0,0,16,33,41,0,4.648,1.387,8.092,10.322,17.201
103,25,10,4,0,0,2,0,0,0,0,0,0,0,0,0,18,31,0,0,4.857,1.387,9.123,11.202,11.729
82,10,7,3,2,0,0,0,0,0,0,0,1,0,0,0,20,21,0,0,4.863,1.387,6.261,7.484,60.142
96,15,5,2,2,1,0,0,0,0,0,0,0,0,0,0,17,25,35,0,5.020,1.382,7.027,8.213,8.288
