Temperature 1 (battery) (K), Temperature 2 (OPC) (K), Heater Status, Flight Time (hour:min:sec)
298.83,358.15,on,0:00:00
298.83,358.15,on,0:00:02
298.83,358.15,on,0:00:03
298.83,358.15,on,0:00:04
298.83,358.15,on,0:00:06
298.83,358.15,on,0:00:07
298.83,358.15,on,0:00:09
298.83,358.15,on,0:00:10
298.83,358.15,on,0:00:12
298.83,358.15,on,0:00:13
298.83,358.15,on,0:00:15
298.83,358.15,on,0:00:16
298.83,358.15,on,0:00:17
298.83,358.15,on,0:00:19
298.83,358.15,on,0:00:20
298.83,358.15,on,0:00:22
298.83,358.15,on,0:00:23
298.83,358.15,on,0:00:25
298.83,358.15,on,0:00:26
298.83,358.15,on,0:00:27
298.83,358.15,on,0:00:29
298.83,358.15,on,0:00:30
298.83,358.15,on,0:00:32
298.83,358.15,on,0:00:33
298.83,358.15,on,0:00:35
298.83,358.15,on,0:00:36
298.83,358.15,on,0:00:38
298.83,358.15,on,0:00:39
298.83,358.15,on,0:00:40
298.83,358.15,on,0:00:42
298.83,358.15,on,0:00:43
298.83,358.15,on,0:00:45
298.83,358.15,on,0:00:46
298.83,358.15,on,0:00:48
298.83,358.15,on,0:00:49
298.83,358.15,on,0:00:51
298.83,358.15,on,0:00:52
298.83,358.15,on,0:00:53
298.83,358.15,on,0:00:55
298.83,358.15,on,0:00:56
298.83,358.15,on,0:00:58
298.83,358.15,on,0:00:59
298.83,358.15,off,0:01:01
298.83,358.15,off,0:01:02
298.83,358.15,off,0:01:04
298.83,358.15,off,0:01:05
298.83,358.15,off,0:01:06
298.83,358.15,off,0:01:08
298.83,358.15,off,0:01:09
Temperature 1 (battery) (K), Temperature 2 (OPC) (K), Heater Status, Flight Time (hour:min:sec)
299.32,358.15,on,0:00:00
299.32,358.15,on,0:00:02
299.32,358.15,on,0:00:03
299.32,358.15,on,0:00:04
299.32,358.15,on,0:00:06
223.64,358.15,on,0:00:07
299.32,358.15,on,0:00:09
299.32,358.15,on,0:00:10
299.32,358.15,on,0:00:12
299.32,358.15,on,0:00:13
299.32,358.15,on,0:00:15
299.32,358.15,on,0:00:16
299.32,358.15,on,0:00:17
299.32,358.15,on,0:00:19
299.32,358.15,on,0:00:20
299.32,358.15,on,0:00:22
299.32,358.15,on,0:00:23
299.32,358.15,on,0:00:25
299.32,358.15,on,0:00:26
299.32,358.15,on,0:00:27
299.32,358.15,on,0:00:29
299.32,358.15,on,0:00:30
299.32,358.15,on,0:00:32
299.32,358.15,on,0:00:33
299.32,358.15,on,0:00:35
299.32,358.15,on,0:00:36
299.32,358.15,on,0:00:38
299.32,358.15,on,0:00:39
299.32,358.15,on,0:00:40
224.61,358.15,on,0:00:42
299.32,358.15,on,0:00:43
299.81,358.15,on,0:00:45
299.32,358.15,on,0:00:46
299.32,358.15,on,0:00:48
299.81,358.15,on,0:00:49
299.81,358.15,on,0:00:51
224.61,358.15,on,0:00:52
299.81,358.15,on,0:00:53
299.32,358.15,on,0:00:55
299.81,358.15,on,0:00:56
299.81,358.15,on,0:00:58
299.81,358.15,on,0:00:59
299.81,358.15,off,0:01:01
299.32,358.15,off,0:01:02
299.81,358.15,off,0:01:04
299.81,358.15,off,0:01:05
299.81,358.15,off,0:01:06
299.81,358.15,off,0:01:08
299.81,358.15,off,0:01:09
299.81,358.15,off,0:01:11
299.81,358.15,off,0:01:12
299.81,358.15,off,0:01:14
299.81,358.15,off,0:01:15
299.81,358.15,off,0:01:17
299.81,358.15,off,0:01:18
299.81,358.15,off,0:01:19
299.81,358.15,off,0:01:21
299.81,358.15,off,0:01:22
299.81,358.15,off,0:01:24
299.81,358.15,off,0:01:25
299.81,358.15,off,0:01:27
299.81,358.15,off,0:01:28
299.81,358.15,off,0:01:29
299.81,358.15,off,0:01:31
299.81,358.15,off,0:01:32
299.81,358.15,off,0:01:34
299.81,358.15,off,0:01:35
223.15,358.15,on,0:01:37
299.81,358.15,off,0:01:38
299.81,358.15,off,0:01:40
299.81,358.15,off,0:01:41
299.81,358.15,off,0:01:42
299.81,358.15,off,0:01:44
299.81,358.15,off,0:01:45
223.15,358.15,on,0:01:47
299.81,358.15,off,0:01:48
299.81,358.15,off,0:01:50
299.81,358.15,off,0:01:51
299.81,358.15,off,0:01:53
299.81,358.15,off,0:01:54
299.81,358.15,off,0:01:55
299.81,358.15,off,0:01:57
299.81,358.15,off,0:01:58
300.30,358.15,off,0:02:00
300.30,358.15,off,0:02:01
299.81,358.15,off,0:02:03
300.30,358.15,off,0:02:04
299.81,358.15,off,0:02:06
300.30,358.15,off,0:02:07
300.30,358.15,off,0:02:08
300.30,358.15,off,0:02:10
300.30,358.15,off,0:02:11
300.30,358.15,off,0:02:13
300.30,358.15,off,0:02:14
300.30,358.15,off,0:02:16
300.30,358.15,off,0:02:17
300.30,358.15,off,0:02:18
300.30,358.15,off,0:02:20
300.30,358.15,off,0:02:21
300.30,358.15,off,0:02:23
300.30,358.15,off,0:02:24
300.30,358.15,off,0:02:26
300.30,358.15,off,0:02:27
300.30,358.15,off,0:02:29
300.30,358.15,off,0:02:30
